Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
407,-1.5993,-9.8043,0.1580,0.0043,-0.0024,0.0309
414,-1.5850,-9.7995,0.0958,0.0024,-0.0025,0.0300
422,-1.5083,-9.8306,0.1125,0.0012,0.0004,0.0308
431,-1.5275,-9.7995,0.1389,0.0055,-0.0009,0.0318
438,-1.5371,-9.8162,0.0383,0.0007,0.0008,0.0274
446,-1.4916,-9.8043,0.0575,0.0047,-0.0029,0.0277
454,-1.4533,-9.8258,0.1293,0.0007,-0.0036,0.0254
462,-1.4916,-9.7827,0.0862,0.0049,-0.0028,0.0274
471,-1.5754,-9.8426,0.0910,-0.0008,-0.0033,0.0284
479,-1.5514,-9.8665,0.1030,0.0015,-0.0024,0.0284
486,-1.5730,-9.7995,0.0551,0.0011,0.0007,0.0312
494,-1.5490,-9.8306,0.2155,0.0004,-0.0012,0.0297
502,-1.5179,-9.8258,0.1269,0.0001,0.0009,0.0293
510,-1.5371,-9.8234,0.2179,-0.0001,-0.0033,0.0270
519,-1.5395,-9.8689,0.0503,-0.0007,-0.0008,0.0294
526,-1.5467,-9.7564,0.1724,0.0012,-0.0053,0.0301
534,-1.4629,-9.7707,0.0575,0.0000,-0.0025,0.0285
542,-1.5036,-9.7659,0.1700,0.0049,-0.0036,0.0297
550,-1.5251,-9.8497,0.0958,0.0040,0.0028,0.0288
559,-1.5179,-9.8258,0.1484,0.0021,-0.0051,0.0304
567,-1.5179,-9.8474,0.0431,0.0008,-0.0032,0.0285
574,-1.5586,-9.8426,0.0503,0.0013,-0.0044,0.0284
582,-1.5586,-9.8402,0.1748,0.0013,0.0004,0.0305
590,-1.5155,-9.8713,0.1724,-0.0017,-0.0031,0.0270
599,-1.5610,-9.8378,0.1748,-0.0015,0.0005,0.0298
607,-1.5562,-9.8354,0.1053,-0.0021,-0.0004,0.0305
614,-1.5443,-9.8857,0.0359,0.0005,0.0011,0.0318
622,-1.5634,-9.7755,0.1460,0.0015,-0.0024,0.0302
630,-1.5419,-9.8282,0.0910,0.0000,-0.0025,0.0289
638,-1.5251,-9.8138,0.1437,0.0027,-0.0008,0.0280
647,-1.5443,-9.7851,0.1676,0.0016,-0.0033,0.0317
655,-1.5514,-9.7947,0.0407,0.0029,0.0005,0.0293
662,-1.5562,-9.8450,0.1221,0.0001,-0.0003,0.0282
670,-1.5443,-9.7947,0.1460,0.0029,-0.0041,0.0286
678,-1.5275,-9.8354,0.0886,0.0012,-0.0023,0.0286
687,-1.5443,-9.8162,0.0239,0.0027,-0.0032,0.0290
695,-1.5921,-9.8043,0.0359,0.0009,0.0020,0.0296
702,-1.5682,-9.7803,0.1772,-0.0015,-0.0016,0.0300
710,-1.5323,-9.8114,0.1652,-0.0020,-0.0027,0.0294
718,-1.5897,-9.8186,0.1245,-0.0025,-0.0028,0.0290
727,-1.5562,-9.7659,0.0982,-0.0013,-0.0023,0.0300
735,-1.5921,-9.8450,0.1173,0.0000,-0.0017,0.0273
743,-1.5467,-9.7875,0.1532,0.0009,-0.0016,0.0300
750,-1.5299,-9.8713,0.0431,0.0017,-0.0021,0.0288
758,-1.5347,-9.8306,0.0718,0.0003,0.0005,0.0297
766,-1.5634,-9.7947,0.2227,0.0003,-0.0023,0.0305
775,-1.5826,-9.8378,0.1628,0.0015,-0.0032,0.0302
783,-1.5538,-9.7636,0.1006,-0.0001,-0.0032,0.0284
790,-1.5467,-9.8402,0.0694,0.0008,-0.0037,0.0289
798,-1.5610,-9.8354,0.1556,0.0019,0.0011,0.0290
806,-1.5754,-9.8090,0.1820,-0.0013,0.0017,0.0286
815,-1.5203,-9.8258,0.0551,-0.0019,0.0005,0.0300
823,-1.5419,-9.8186,0.0239,-0.0027,-0.0003,0.0276
831,-1.5514,-9.8258,0.2155,-0.0044,-0.0005,0.0288
838,-1.5371,-9.8593,0.0407,0.0004,0.0013,0.0318
846,-1.5227,-9.7707,0.1173,0.0036,0.0015,0.0289
855,-1.5538,-9.8354,0.0958,0.0015,-0.0015,0.0280
863,-1.5538,-9.8234,0.0694,0.0017,-0.0001,0.0289
871,-1.6352,-9.8617,0.1628,0.0044,-0.0003,0.0274
878,-1.5419,-9.8378,0.1580,0.0000,0.0019,0.0286
886,-1.5299,-9.8258,0.1580,0.0005,0.0007,0.0274
894,-1.5179,-9.8569,0.1077,0.0037,-0.0007,0.0290
903,-1.5443,-9.8186,0.0862,0.0021,-0.0015,0.0293
911,-1.5706,-9.8282,0.0862,0.0016,-0.0003,0.0305
919,-1.5538,-9.7947,0.1101,0.0007,0.0001,0.0301
926,-1.5634,-9.8043,0.0215,-0.0023,0.0028,0.0308
934,-1.5371,-9.8330,0.1413,-0.0009,-0.0011,0.0310
943,-1.5730,-9.8713,0.0934,0.0000,-0.0016,0.0286
951,-1.5538,-9.8306,0.1269,-0.0003,-0.0015,0.0289
959,-1.5227,-9.7803,0.1844,0.0019,0.0001,0.0293
966,-1.5443,-9.8114,0.0862,0.0027,-0.0017,0.0280
974,-1.6137,-9.8474,0.1030,0.0025,-0.0003,0.0293
983,-1.5275,-9.8354,0.0670,0.0023,-0.0044,0.0312
991,-1.5179,-9.8186,0.1867,0.0016,-0.0036,0.0296
999,-1.5562,-9.8713,0.1676,0.0013,-0.0016,0.0293
1006,-1.5538,-9.8330,0.1030,0.0036,0.0005,0.0304
1014,-1.5371,-9.8114,0.0575,0.0016,-0.0024,0.0316
1022,-1.5419,-9.8306,0.1772,0.0003,-0.0043,0.0261
1031,-1.5347,-9.8402,0.1053,0.0056,-0.0003,0.0270
1039,-1.5443,-9.8306,0.1077,-0.0023,-0.0055,0.0281
1047,-1.5155,-9.8210,0.1748,-0.0009,-0.0007,0.0273
1054,-1.5754,-9.7899,0.1508,0.0017,-0.0033,0.0274
1062,-1.5514,-9.7875,0.1293,-0.0004,-0.0045,0.0302
1071,-1.4940,-9.8378,0.1628,-0.0012,-0.0064,0.0297
1079,-1.6185,-9.7779,0.0670,0.0017,-0.0079,0.0304
1087,-1.6113,-9.7851,0.0982,0.0021,-0.0047,0.0318
1094,-1.5036,-9.8138,0.1221,0.0023,-0.0075,0.0296
1102,-1.5227,-9.8258,0.1341,0.0035,-0.0048,0.0298
1111,-1.5874,-9.7851,0.0934,0.0044,-0.0027,0.0292
1119,-1.6328,-9.8162,0.1460,0.0013,-0.0059,0.0281
1127,-1.5538,-9.7492,0.0000,0.0033,-0.0052,0.0305
1135,-1.5443,-9.8234,0.0263,0.0007,-0.0023,0.0269
1142,-1.5012,-9.8138,0.1053,0.0025,-0.0021,0.0288
1150,-1.5419,-9.7971,0.0790,-0.0007,-0.0031,0.0284
1159,-1.5083,-9.7923,0.1508,0.0024,-0.0040,0.0282
1167,-1.4964,-9.8019,0.1341,-0.0011,-0.0015,0.0301
