Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
407,-1.6783,-3.6919,9.2799,-0.0209,-0.0396,0.0069
414,-1.6951,-3.6536,9.2033,-0.0580,-0.0931,0.0048
422,-1.6855,-3.6536,9.2584,-0.0846,-0.1319,0.0069
431,-1.8004,-3.6176,9.3996,-0.1027,-0.1462,0.0164
438,-1.9178,-3.4979,9.4212,-0.0913,-0.1652,0.0389
446,-1.7310,-3.5099,9.3182,-0.0791,-0.1804,0.0574
454,-1.6328,-3.5841,9.1889,-0.0810,-0.1727,0.0638
462,-1.5897,-3.5865,9.2871,-0.0867,-0.1607,0.0605
471,-1.6496,-3.5267,9.2919,-0.0817,-0.1680,0.0636
479,-1.6328,-3.5051,9.3589,-0.0829,-0.2029,0.0691
486,-1.5538,-3.5506,9.4355,-0.0785,-0.2361,0.0878
494,-1.5874,-3.6679,9.4715,-0.0781,-0.2791,0.0965
502,-1.5251,-3.6631,9.3637,-0.0693,-0.3171,0.1170
510,-1.6305,-3.7326,9.5289,-0.0480,-0.3391,0.1439
519,-1.5610,-3.7757,9.2488,-0.0380,-0.3609,0.1575
526,-1.6281,-3.7038,9.2129,-0.0337,-0.3613,0.1624
534,-1.5467,-3.7302,9.0405,-0.0313,-0.3537,0.1680
542,-1.4054,-3.7661,8.9136,-0.0358,-0.3031,0.1588
550,-1.3479,-3.6990,8.8921,-0.0532,-0.2446,0.1519
559,-1.2737,-3.6966,8.9136,-0.0693,-0.2049,0.1274
567,-1.1899,-3.8858,9.2344,-0.0874,-0.1951,0.0993
574,-1.1995,-3.7230,9.2344,-0.0853,-0.1549,0.0695
582,-1.2402,-3.7350,9.1794,-0.0827,-0.1315,0.0662
590,-1.4174,-3.7182,9.3518,-0.0727,-0.1291,0.0581
599,-1.3599,-3.7182,9.4308,-0.0600,-0.1231,0.0625
607,-1.6209,-3.7445,9.4523,-0.0699,-0.1431,0.0787
614,-1.8531,-3.5482,9.5984,-0.0665,-0.1760,0.1033
622,-1.5634,-3.7110,9.5553,-0.0512,-0.1945,0.1223
630,-1.4820,-3.7158,9.4882,-0.0376,-0.1820,0.1411
638,-1.4150,-3.6943,9.3685,-0.0125,-0.1685,0.1458
647,-1.2953,-3.5793,9.0860,0.0336,-0.1480,0.1589
655,-1.0199,-3.8020,8.9208,0.0237,-0.1007,0.1541
662,-0.8428,-3.8092,8.7771,0.0163,-0.0181,0.1143
670,-0.8882,-3.6799,8.7101,0.0169,0.0687,0.0621
678,-0.9864,-3.7206,8.7676,0.0424,0.1302,0.0336
687,-0.9433,-3.6176,8.8514,0.0987,0.1855,0.0317
695,-1.5107,-3.5243,8.8346,0.1440,0.2470,0.0689
702,-0.8284,-3.7804,8.2744,0.1298,0.2980,0.0108
710,-1.0678,-3.7062,8.7747,0.1067,0.3376,-0.0024
718,-1.0343,-3.8714,8.5928,0.0877,0.3806,-0.0602
727,-1.1301,-3.4189,8.4276,0.0867,0.4498,-0.0777
735,-0.8882,-3.6320,8.1116,0.1037,0.6126,-0.0833
743,-0.7446,-3.7541,8.2169,0.0687,0.7176,-0.1328
750,-1.1660,-3.7278,8.3677,0.0195,0.7883,-0.2094
758,-1.4653,-3.7996,8.8585,-0.0076,0.8002,-0.2326
766,-1.4844,-3.7685,9.0668,-0.0470,0.7600,-0.2705
775,-1.7454,-3.3447,8.9854,-0.0505,0.6860,-0.2687
783,-2.0638,-3.3734,8.9807,-0.0581,0.6310,-0.2108
790,-0.8092,-4.0965,8.7101,-0.0799,0.6512,-0.2024
798,-1.2115,-4.0701,8.6335,-0.1122,0.6947,-0.2345
806,-1.4365,-3.7014,8.9208,-0.1147,0.8100,-0.2891
815,-1.4389,-3.7781,9.2488,-0.0995,0.8964,-0.3293
823,-1.2426,-4.0318,9.6822,-0.0807,0.8900,-0.3853
