Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
407,3.0478,-2.2913,9.1985,0.0229,0.0783,0.0365
414,3.0622,-2.2721,9.2033,0.0226,0.0954,0.0458
422,3.0430,-2.1907,9.2823,0.0104,0.1029,0.0592
431,3.0646,-2.2410,9.4164,0.0048,0.0941,0.0690
439,3.1388,-2.1452,9.4643,0.0053,0.0709,0.0751
446,3.2010,-2.1596,9.5265,0.0067,0.0464,0.0759
454,3.2034,-2.1117,9.4691,0.0123,0.0173,0.0687
462,3.2633,-2.2170,9.3230,0.0195,0.0115,0.0560
471,3.3423,-2.2218,9.2416,0.0296,0.0005,0.0402
479,3.2872,-2.2625,9.2919,0.0370,0.0013,0.0240
486,3.2585,-2.2817,9.1985,0.0474,0.0099,0.0133
494,3.2944,-2.2673,9.2560,0.0445,0.0184,-0.0024
502,3.2609,-2.2458,9.3015,0.0370,0.0274,-0.0056
510,2.9999,-2.1284,9.2632,0.0234,0.0277,-0.0011
519,3.0311,-2.1213,9.2775,0.0024,0.0290,0.0037
527,3.0023,-2.1500,9.2919,-0.0096,0.0341,0.0107
534,3.0813,-2.1715,9.3063,-0.0213,0.0394,0.0125
542,3.0574,-2.1907,9.2512,-0.0346,0.0309,0.0173
550,2.9353,-2.2122,9.2560,-0.0429,0.0341,0.0256
559,2.9592,-2.2793,9.3422,-0.0400,0.0187,0.0301
567,3.0047,-2.2601,9.4092,-0.0373,-0.0059,0.0381
574,3.0574,-2.3056,9.4739,-0.0258,-0.0402,0.0456
582,3.1173,-2.2553,9.4547,-0.0109,-0.0648,0.0496
590,3.2896,-2.3104,9.4547,0.0096,-0.0717,0.0328
599,3.3112,-2.3008,9.2680,0.0189,-0.0717,0.0171
607,3.1819,-2.2434,9.1339,0.0216,-0.0544,0.0115
615,3.0574,-2.2769,9.1626,0.0171,-0.0360,0.0059
622,3.0478,-2.2338,9.2512,0.0123,-0.0131,0.0075
630,3.1340,-2.2194,9.2129,0.0085,0.0061,0.0048
638,3.1149,-2.2122,9.1913,0.0037,0.0147,0.0035
647,2.9928,-2.2769,9.2009,-0.0021,0.0264,0.0037
655,2.9951,-2.2242,9.2919,-0.0005,0.0320,0.0115
662,2.9712,-2.1931,9.3637,-0.0067,0.0203,0.0282
670,3.0023,-2.1811,9.4882,-0.0069,-0.0088,0.0493
678,3.0191,-2.1907,9.4164,-0.0029,-0.0370,0.0730
687,3.0861,-2.1739,9.4715,0.0040,-0.0557,0.0847
695,3.2082,-2.2027,9.4882,0.0192,-0.0512,0.0823
703,3.3686,-2.2122,9.3805,0.0368,-0.0338,0.0685
710,3.3160,-2.2362,9.3039,0.0421,-0.0088,0.0557
718,3.2872,-2.2960,9.1889,0.0429,0.0189,0.0464
727,3.2633,-2.2386,9.1842,0.0320,0.0493,0.0362
735,3.2010,-2.2266,9.0142,0.0211,0.0669,0.0229
743,3.1388,-2.2266,9.1219,0.0043,0.0869,0.0131
750,3.1508,-2.2170,9.0453,-0.0128,0.0946,0.0077
758,3.1077,-2.2122,9.2464,-0.0234,0.0903,0.0069
766,3.2298,-2.2577,9.3230,-0.0306,0.0810,0.0107
775,3.2154,-2.2122,9.3278,-0.0349,0.0773,0.0056
783,3.0933,-2.2793,9.2703,-0.0330,0.0805,0.0059
791,3.0478,-2.1763,9.4116,-0.0240,0.0663,0.0123
798,3.0311,-2.1931,9.4308,-0.0128,0.0434,0.0242
806,2.9760,-2.1859,9.4403,0.0008,0.0139,0.0274
815,2.9640,-2.2075,9.3470,0.0099,-0.0221,0.0317
823,3.0287,-2.1428,9.2368,0.0069,-0.0314,0.0285
831,3.0742,-2.2242,9.2273,0.0072,-0.0357,0.0309
838,3.2082,-2.1955,9.3230,-0.0059,-0.0338,0.0285
846,3.1891,-2.1691,9.2344,-0.0213,-0.0221,0.0242
855,3.2417,-2.2673,9.2464,-0.0320,0.0040,0.0277
863,3.2825,-2.2601,9.1866,-0.0336,0.0450,0.0261
871,3.2274,-2.2673,9.2440,-0.0312,0.0786,0.0269
878,3.1101,-2.2266,9.3805,-0.0290,0.0810,0.0341
886,3.1484,-2.2434,9.3996,-0.0360,0.0608,0.0402
894,3.0694,-2.2314,9.3589,-0.0309,0.0378,0.0469
903,2.9856,-2.2697,9.0908,-0.0296,0.0290,0.0530
