Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
407,-1.5395,-9.8234,-0.0958,0.0027,-0.0072,0.0269
414,-1.5131,-9.8617,-0.0766,-0.0005,-0.0085,0.0293
422,-1.5275,-9.8282,-0.2059,0.0045,-0.0053,0.0293
431,-1.5586,-9.8162,-0.1939,0.0024,-0.0088,0.0290
438,-1.5802,-9.8043,-0.0455,0.0005,-0.0096,0.0314
446,-1.5730,-9.8210,-0.1341,0.0027,-0.0064,0.0312
454,-1.5658,-9.7707,-0.1006,-0.0005,-0.0093,0.0272
462,-1.5730,-9.7995,-0.1532,0.0016,-0.0091,0.0309
471,-1.5323,-9.8114,-0.1532,0.0011,-0.0056,0.0306
479,-1.5467,-9.8545,-0.1772,0.0040,-0.0091,0.0301
486,-1.5586,-9.7971,-0.1173,0.0027,-0.0091,0.0293
494,-1.5874,-9.8066,-0.2251,0.0021,-0.0069,0.0309
502,-1.5682,-9.8019,-0.0599,0.0056,-0.0056,0.0314
510,-1.5802,-9.8689,-0.1748,0.0045,-0.0107,0.0317
519,-1.5730,-9.8210,-0.0551,0.0021,-0.0112,0.0269
526,-1.5514,-9.8019,-0.1724,0.0040,-0.0080,0.0296
534,-1.5490,-9.8497,-0.0383,0.0016,-0.0083,0.0336
542,-1.5586,-9.8330,-0.1700,0.0027,-0.0064,0.0314
550,-1.5658,-9.8138,-0.0958,0.0051,-0.0077,0.0309
559,-1.5395,-9.7875,-0.1676,-0.0005,-0.0069,0.0298
567,-1.5514,-9.8737,-0.1389,0.0029,-0.0069,0.0309
574,-1.5850,-9.7995,-0.1317,0.0029,-0.0077,0.0288
582,-1.5730,-9.8737,-0.1963,0.0037,-0.0048,0.0317
590,-1.5060,-9.8114,-0.1269,0.0029,-0.0096,0.0288
599,-1.5514,-9.8282,-0.1077,0.0005,-0.0083,0.0288
607,-1.6041,-9.8090,-0.1197,-0.0003,-0.0112,0.0266
614,-1.5419,-9.7755,-0.1389,0.0037,-0.0072,0.0277
