Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
407,-0.1484,-9.9766,-0.0622,0.0029,-0.0045,0.0298
414,-0.1891,-9.9503,0.0718,0.0059,-0.0059,0.0285
422,-0.1173,-10.0437,-0.0551,0.0043,-0.0061,0.0317
431,-0.1796,-9.9647,0.0527,0.0016,-0.0085,0.0280
439,-0.1652,-9.9288,0.0263,0.0040,-0.0061,0.0277
446,-0.0814,-9.9072,0.1293,0.0035,-0.0056,0.0312
454,-0.1221,-9.9575,0.0718,0.0005,-0.0061,0.0304
462,-0.1341,-9.9240,0.0982,0.0029,-0.0035,0.0298
471,-0.1891,-9.9407,0.0862,0.0051,-0.0040,0.0269
479,-0.1484,-9.9024,0.0048,0.0008,-0.0048,0.0306
486,-0.1006,-9.9144,0.0622,0.0064,-0.0083,0.0290
494,-0.1508,-9.9503,0.0910,0.0035,-0.0072,0.0293
502,-0.1077,-9.9455,0.0287,0.0029,-0.0083,0.0312
510,-0.1484,-9.9886,0.1365,-0.0005,-0.0040,0.0296
519,-0.1867,-9.9240,0.1149,0.0027,-0.0083,0.0293
527,-0.1580,-9.9240,0.0383,0.0040,-0.0099,0.0285
534,-0.1437,-9.9838,0.0431,0.0045,-0.0099,0.0288
542,-0.1484,-9.8785,0.1173,0.0016,-0.0048,0.0301
550,-0.1580,-9.9216,0.0335,0.0008,-0.0083,0.0261
559,-0.1724,-9.9096,0.0886,0.0005,-0.0085,0.0312
567,-0.1053,-9.8904,0.0766,0.0035,-0.0085,0.0288
574,-0.0718,-9.9671,-0.0192,0.0016,-0.0061,0.0293
582,-0.1556,-9.9647,0.0670,0.0019,-0.0083,0.0285
590,-0.1460,-9.9982,0.0718,0.0045,-0.0072,0.0309
599,-0.0455,-9.9407,0.1221,0.0027,-0.0051,0.0288
607,-0.1437,-9.9718,0.0096,0.0029,-0.0040,0.0274
615,-0.2274,-9.9766,0.0599,0.0029,-0.0075,0.0272
622,-0.1006,-9.9359,0.0192,0.0011,-0.0067,0.0285
630,-0.1149,-9.9958,0.1006,0.0056,-0.0061,0.0293
638,-0.1245,-9.9144,0.1532,0.0027,-0.0077,0.0306
647,-0.1365,-9.9479,0.0575,0.0027,-0.0083,0.0304
655,-0.1532,-9.9359,0.1460,0.0011,-0.0091,0.0293
662,-0.1077,-9.9695,0.0742,0.0027,-0.0064,0.0328
670,-0.1173,-9.9623,0.0670,0.0043,-0.0075,0.0304
