Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
407,-1.6999,-9.7492,0.0886,-0.0020,-0.0064,0.0314
414,-1.6879,-9.7348,0.0239,-0.0007,-0.0085,0.0284
422,-1.6352,-9.7444,0.1891,0.0016,-0.0103,0.0293
431,-1.7142,-9.8617,0.0934,0.0012,-0.0076,0.0333
438,-1.6305,-9.7659,0.1317,-0.0004,-0.0052,0.0324
446,-1.6831,-9.7899,0.1221,0.0037,-0.0105,0.0300
454,-1.6472,-9.7827,0.1006,0.0029,-0.0045,0.0290
462,-1.6712,-9.7971,0.0048,0.0003,-0.0073,0.0297
471,-1.6903,-9.7444,0.0168,0.0028,-0.0081,0.0297
479,-1.7142,-9.7755,0.1556,0.0031,-0.0060,0.0306
486,-1.6592,-9.7444,0.1197,0.0011,-0.0061,0.0312
494,-1.7310,-9.8019,0.1269,0.0019,-0.0092,0.0286
502,-1.7262,-9.8090,0.0742,-0.0011,-0.0101,0.0304
510,-1.6712,-9.8234,0.0670,0.0015,-0.0039,0.0293
519,-1.6855,-9.7779,0.1053,0.0019,-0.0076,0.0290
526,-1.6759,-9.7636,0.0838,0.0016,-0.0037,0.0290
534,-1.6137,-9.7875,0.0670,0.0032,-0.0055,0.0304
542,-1.7142,-9.7851,0.1197,0.0011,-0.0037,0.0278
550,-1.6688,-9.7923,0.0479,-0.0003,-0.0048,0.0274
559,-1.6233,-9.8186,0.0096,0.0008,-0.0035,0.0290
567,-1.6640,-9.7516,0.0790,0.0032,-0.0060,0.0290
574,-1.7047,-9.7085,0.0096,0.0019,-0.0025,0.0304
582,-1.6735,-9.8306,0.0287,-0.0017,-0.0021,0.0293
590,-1.7214,-9.7444,0.0527,0.0052,0.0004,0.0326
599,-1.6975,-9.7755,0.0479,-0.0001,-0.0048,0.0293
607,-1.6305,-9.7564,0.0096,0.0027,-0.0019,0.0310
614,-1.6328,-9.8090,0.0527,-0.0005,0.0003,0.0256
622,-1.6807,-9.7947,0.0694,-0.0009,0.0019,0.0301
630,-1.6592,-9.7516,0.1030,0.0011,0.0004,0.0322
638,-1.6065,-9.7707,0.1053,0.0027,-0.0016,0.0314
647,-1.7214,-9.8138,0.0048,0.0000,-0.0021,0.0313
655,-1.7214,-9.7516,0.0431,0.0011,-0.0004,0.0326
662,-1.6352,-9.7707,0.0407,0.0015,0.0004,0.0309
670,-1.6903,-9.8162,0.0575,0.0031,-0.0015,0.0321
678,-1.6568,-9.7995,-0.0096,0.0051,-0.0039,0.0264
