Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
407,-1.6568,-9.7875,0.1652,-0.0019,-0.0048,0.0333
414,-1.6472,-9.7899,0.2945,0.0069,-0.0027,0.0306
422,-1.6257,-9.7899,0.2586,0.0000,-0.0083,0.0304
431,-1.6065,-9.7420,0.2873,-0.0005,-0.0045,0.0290
438,-1.6281,-9.7468,0.2251,0.0059,0.0029,0.0296
446,-1.5993,-9.7659,0.3041,0.0024,-0.0016,0.0269
454,-1.6664,-9.7971,0.2969,0.0037,-0.0029,0.0309
462,-1.6975,-9.7851,0.2346,0.0056,-0.0029,0.0293
471,-1.5897,-9.7899,0.2825,0.0091,0.0000,0.0288
479,-1.6807,-9.7468,0.1580,0.0037,0.0003,0.0317
486,-1.6927,-9.7851,0.2514,0.0077,0.0032,0.0282
494,-1.5993,-9.7899,0.2873,0.0064,-0.0011,0.0293
502,-1.5682,-9.7683,0.2538,0.0069,0.0019,0.0258
510,-1.5371,-9.8090,0.2514,0.0053,0.0011,0.0264
519,-1.6496,-9.7779,0.2298,0.0080,0.0029,0.0280
526,-1.5754,-9.8186,0.1556,0.0075,0.0061,0.0269
534,-1.6328,-9.8234,0.2107,0.0088,0.0048,0.0290
542,-1.6496,-9.8043,0.2897,0.0093,0.0045,0.0274
550,-1.6065,-9.7899,0.1748,0.0085,0.0067,0.0242
559,-1.6735,-9.7540,0.2442,0.0069,0.0029,0.0293
567,-1.6233,-9.7923,0.2227,0.0099,0.0045,0.0280
574,-1.6185,-9.7827,0.2059,0.0077,0.0045,0.0253
582,-1.6305,-9.8521,0.2274,0.0133,0.0053,0.0277
590,-1.6400,-9.8234,0.2442,0.0088,0.0021,0.0242
599,-1.6281,-9.7827,0.2490,0.0104,0.0077,0.0242
607,-1.6496,-9.8258,0.2658,0.0128,0.0056,0.0240
614,-1.6424,-9.8019,0.3639,0.0139,0.0032,0.0269
622,-1.6209,-9.8138,0.2538,0.0083,0.0035,0.0290
630,-1.6831,-9.7492,0.1628,0.0101,0.0029,0.0258
638,-1.5299,-9.7636,0.2442,0.0093,0.0032,0.0258
647,-1.6640,-9.7971,0.2131,0.0099,0.0024,0.0290
655,-1.6400,-9.8378,0.2203,0.0056,0.0016,0.0237
662,-1.7071,-9.8330,0.2107,0.0072,0.0016,0.0264
670,-1.6257,-9.8497,0.2155,0.0075,0.0024,0.0269
678,-1.6376,-9.8186,0.2370,0.0101,0.0000,0.0272
687,-1.6712,-9.7612,0.1891,0.0040,-0.0008,0.0293
695,-1.6496,-9.8258,0.2442,0.0067,-0.0013,0.0277
702,-1.6137,-9.7468,0.2370,0.0064,-0.0024,0.0248
710,-1.6305,-9.7899,0.2179,0.0040,-0.0016,0.0237
