Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
407,-0.6823,-3.9097,8.8753,-0.0746,-0.0701,0.0667
414,-0.6201,-3.9361,8.8633,-0.0612,0.0336,0.0687
422,-0.5195,-3.9528,9.0525,-0.0357,0.1344,0.0710
431,-0.4429,-4.0558,9.2871,-0.0155,0.1928,0.0586
438,-0.3591,-3.9959,9.3685,-0.0053,0.1641,0.0522
446,-0.4381,-4.0031,9.4068,-0.0148,-0.0097,0.0444
454,-0.5435,-4.0199,9.2560,-0.0368,-0.2081,0.0470
462,-0.6656,-4.0390,8.8945,-0.0721,-0.4008,0.0570
471,-0.7374,-4.0103,8.8418,-0.0977,-0.4922,0.0703
479,-0.8978,-3.9696,8.9687,-0.1114,-0.4998,0.0941
486,-0.9337,-3.9097,9.0046,-0.0971,-0.3885,0.1134
494,-0.7925,-3.9863,9.0525,-0.0767,-0.2811,0.1319
502,-0.5531,-3.9528,9.1411,-0.0697,-0.1667,0.1443
510,-0.4046,-4.0630,9.0166,-0.0500,-0.0650,0.1340
519,-0.2634,-4.0582,8.9902,-0.0304,0.0221,0.1183
526,-0.3041,-4.0294,8.9328,-0.0135,0.0958,0.1005
534,-0.2873,-4.0941,9.0285,0.0037,0.1362,0.0795
542,-0.3400,-3.9887,9.0597,0.0167,0.1716,0.0663
550,-0.4932,-4.0438,9.1674,0.0168,0.2108,0.0633
559,-0.5938,-4.0151,9.1363,0.0069,0.2058,0.0648
567,-0.4645,-4.1156,9.2584,-0.0008,0.1162,0.0557
574,-0.2801,-4.1180,9.2536,-0.0025,0.0177,0.0368
582,-0.2682,-4.1348,9.3470,0.0117,-0.0326,0.0145
590,-0.3639,-4.1468,9.3302,0.0072,-0.0817,-0.0017
599,-0.5722,-4.0630,9.3518,0.0167,-0.1203,-0.0127
607,-0.6608,-4.0606,9.0381,0.0321,-0.1219,-0.0172
614,-0.6033,-3.9528,8.7628,0.0329,-0.0905,-0.0205
622,-0.5435,-4.0103,8.4276,0.0249,-0.0754,-0.0285
630,-0.5291,-4.0247,8.4443,0.0168,-0.1074,-0.0394
638,-0.4884,-3.9983,8.6383,0.0232,-0.1065,-0.0541
647,-0.7039,-4.0175,8.9711,0.0368,-0.0410,-0.0522
655,-0.7853,-4.0318,9.0812,0.0624,0.0055,-0.0488
662,-0.9529,-3.9385,9.0261,0.0775,0.0129,-0.0330
670,-0.9409,-3.8762,8.8370,0.0834,0.0048,-0.0103
678,-0.8116,-3.9600,8.7436,0.0762,0.0408,0.0065
687,-0.8835,-3.9385,8.7724,0.0658,0.0821,0.0161
695,-0.9026,-4.0031,8.8777,0.0416,0.0480,0.0305
702,-0.7422,-4.0127,9.0453,0.0253,0.0097,0.0416
710,-0.6393,-3.9648,9.3398,0.0136,0.0103,0.0464
