Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
407,0.2274,-9.1339,-3.7876,0.0101,-0.0330,-0.0123
414,0.1101,-9.0453,-3.7733,0.0131,-0.0037,-0.0083
422,0.1006,-9.1530,-3.8499,0.0226,-0.0019,0.0043
431,0.1676,-9.1411,-3.8331,0.0197,-0.0011,0.0045
438,0.0958,-9.1387,-3.7852,0.0179,0.0037,-0.0011
446,0.0503,-9.0644,-3.7852,0.0120,0.0000,0.0024
454,0.0503,-9.1267,-3.6703,0.0037,-0.0165,0.0104
462,0.0383,-9.1099,-3.6727,0.0045,-0.0229,0.0181
471,0.0455,-9.1602,-3.6990,0.0053,-0.0157,0.0306
479,-0.0048,-9.2249,-3.7685,0.0136,0.0000,0.0333
486,0.0239,-9.1889,-3.6033,0.0184,0.0131,0.0312
494,0.0287,-9.2153,-3.6895,0.0213,0.0213,0.0344
502,-0.0455,-9.1818,-3.6871,0.0229,0.0208,0.0394
510,-0.1221,-9.1482,-3.5745,0.0224,0.0147,0.0480
519,-0.0718,-9.1099,-3.7158,0.0189,0.0123,0.0602
526,-0.0527,-9.1315,-3.6775,0.0184,0.0088,0.0730
534,0.0239,-9.2464,-3.7254,0.0179,-0.0043,0.0815
542,0.0407,-9.2632,-3.7110,0.0109,-0.0109,0.0775
550,-0.0790,-9.2368,-3.7565,0.0075,-0.0120,0.0685
559,-0.0646,-9.2943,-3.6727,0.0077,-0.0117,0.0733
567,0.0144,-9.3182,-3.7469,0.0069,-0.0240,0.0690
574,0.1891,-9.3494,-3.7733,0.0067,-0.0365,0.0578
582,0.2705,-9.3326,-3.7302,0.0085,-0.0298,0.0402
590,0.2274,-9.2871,-3.7014,0.0136,-0.0099,0.0253
599,0.2322,-9.2464,-3.7613,0.0160,0.0064,0.0181
607,0.0910,-9.1267,-3.8259,0.0085,0.0051,0.0093
614,0.0431,-9.1674,-3.6871,0.0080,0.0061,0.0043
622,0.0886,-9.1458,-3.6081,0.0013,0.0032,0.0040
630,0.0263,-9.1913,-3.7206,0.0005,0.0011,0.0091
638,-0.0622,-9.2727,-3.6200,-0.0045,-0.0011,0.0141
647,0.0646,-9.2703,-3.6009,-0.0051,-0.0091,0.0203
655,0.1149,-9.2488,-3.6536,-0.0040,-0.0109,0.0176
662,0.1341,-9.2680,-3.6464,0.0016,-0.0072,0.0101
670,0.0646,-9.1554,-3.7541,0.0027,0.0024,0.0085
678,-0.0527,-9.1674,-3.7876,0.0045,-0.0005,0.0136
687,-0.1101,-9.1530,-3.7852,0.0032,0.0045,0.0213
695,-0.1844,-9.1411,-3.7445,-0.0032,0.0099,0.0298
702,-0.1532,-9.1746,-3.5985,-0.0067,0.0093,0.0445
710,-0.0958,-9.1866,-3.6488,-0.0144,0.0019,0.0573
718,-0.0072,-9.2632,-3.6416,-0.0173,-0.0077,0.0584
727,0.0886,-9.2656,-3.6703,-0.0208,-0.0179,0.0584
735,0.0239,-9.3709,-3.6559,-0.0115,-0.0040,0.0602
743,0.0120,-9.3470,-3.6488,-0.0083,0.0059,0.0632
750,0.0479,-9.2344,-3.7134,-0.0005,0.0131,0.0589
758,0.0263,-9.2249,-3.6536,0.0024,0.0179,0.0496
766,-0.0168,-9.2129,-3.6895,0.0043,0.0123,0.0397
775,-0.0694,-9.2009,-3.7206,-0.0048,0.0056,0.0341
783,-0.0503,-9.1578,-3.5889,-0.0080,-0.0072,0.0312
790,0.0000,-9.1458,-3.7014,-0.0099,-0.0274,0.0322
798,0.0287,-9.1889,-3.6655,-0.0133,-0.0469,0.0325
806,0.0431,-9.2823,-3.6416,-0.0085,-0.0512,0.0240
815,0.0599,-9.2656,-3.6655,-0.0008,-0.0472,0.0211
823,0.0239,-9.2703,-3.6727,0.0051,-0.0328,0.0176
830,0.0934,-9.1842,-3.7110,0.0139,-0.0261,0.0147
838,0.1221,-9.1937,-3.6536,0.0179,-0.0197,0.0056
846,0.0718,-9.1435,-3.7421,0.0171,-0.0229,0.0003
855,-0.0048,-9.1482,-3.8044,0.0072,-0.0250,0.0021
863,0.0503,-9.1075,-3.7254,-0.0005,-0.0370,0.0123
871,-0.0048,-9.1339,-3.6559,-0.0125,-0.0488,0.0253
878,0.0694,-9.2009,-3.6703,-0.0195,-0.0562,0.0416
886,0.2466,-9.2871,-3.6416,-0.0187,-0.0573,0.0514
894,0.2346,-9.3326,-3.5626,-0.0075,-0.0376,0.0496
903,0.2634,-9.3685,-3.5961,0.0016,-0.0157,0.0394
911,0.3184,-9.3158,-3.6488,0.0112,-0.0077,0.0258
918,0.2610,-9.2129,-3.6224,0.0171,-0.0037,0.0152
926,0.2346,-9.2249,-3.6536,0.0288,0.0115,0.0037
934,0.1556,-9.1578,-3.7996,0.0309,0.0306,-0.0051
943,-0.0215,-9.0932,-3.7517,0.0221,0.0354,0.0003
951,-0.0479,-8.9830,-3.7517,0.0128,0.0280,0.0213
959,-0.1197,-9.0453,-3.7637,-0.0008,0.0226,0.0498
966,-0.1317,-9.1219,-3.7804,-0.0061,0.0248,0.0671
974,-0.1269,-9.1961,-3.7110,-0.0061,0.0349,0.0813
983,-0.1125,-9.2153,-3.6583,-0.0021,0.0277,0.0861
991,-0.0024,-9.2967,-3.6057,-0.0011,0.0120,0.0802
999,0.1532,-9.3350,-3.6081,0.0027,-0.0040,0.0592
1006,0.1891,-9.3158,-3.6009,0.0061,-0.0085,0.0328
1014,0.0814,-9.2919,-3.5913,0.0181,-0.0037,0.0091
1022,0.0263,-9.2392,-3.6847,0.0200,-0.0184,-0.0067
1031,0.0455,-9.2296,-3.7134,0.0088,-0.0437,-0.0136
1039,0.1293,-9.1530,-3.8571,0.0040,-0.0557,-0.0133
1047,0.0048,-9.1267,-3.8331,0.0021,-0.0434,-0.0013
1054,-0.0646,-9.1219,-3.7996,0.0019,-0.0155,0.0200
1062,0.0120,-9.1051,-3.8666,0.0035,-0.0075,0.0338
1071,0.0144,-9.1674,-3.7613,0.0035,-0.0096,0.0400
1079,0.0527,-9.1602,-3.7182,0.0024,-0.0128,0.0418
1087,0.0215,-9.1722,-3.6224,0.0016,-0.0072,0.0424
1094,0.0192,-9.2632,-3.5793,0.0037,0.0013,0.0434
1102,-0.0024,-9.2751,-3.6248,0.0003,0.0027,0.0466
1111,-0.0263,-9.3302,-3.6320,0.0011,0.0109,0.0482
1119,-0.0575,-9.3015,-3.6344,0.0032,0.0208,0.0546
1127,-0.0670,-9.3039,-3.6129,0.0032,0.0306,0.0533
1135,0.0790,-9.2392,-3.5961,0.0099,0.0285,0.0498
1142,0.2969,-9.2751,-3.4572,0.0163,0.0115,0.0261
1150,0.5363,-9.2919,-3.5434,0.0306,-0.0128,-0.0109
1159,0.5650,-9.2536,-3.5769,0.0354,-0.0173,-0.0464
1167,0.3448,-9.2057,-3.5219,0.0402,-0.0072,-0.0576
1175,0.3089,-9.2416,-3.5195,0.0418,0.0125,-0.0549
1182,0.0910,-9.3877,-3.3375,0.0389,0.0067,-0.0325
1190,-0.1149,-9.2799,-3.7206,0.0525,0.0877,-0.0224
1199,-0.3472,-8.8514,-4.0677,0.0839,0.1948,0.0192
1207,-0.4860,-9.1626,-3.7302,0.0775,0.2233,0.0741
1215,-0.7230,-9.0668,-3.6105,0.0890,0.1436,0.1687
1223,-0.6823,-9.0142,-3.5243,0.1303,0.0975,0.2268
1230,-0.1844,-9.4188,-3.7517,0.1420,0.1239,0.2467
1239,-0.4310,-9.3206,-3.6440,0.1849,0.1793,0.2758
1247,0.0000,-8.9735,-1.8818,0.3192,0.2734,0.2766
1255,-1.7502,-7.8745,6.0765,0.8708,-0.0682,0.3616
1263,-1.9489,-9.1794,-2.4062,1.1431,-0.8306,0.5782
1270,-0.6632,-9.5720,-4.8052,0.7669,-1.4957,0.6736
1278,1.1540,-10.0389,-4.8363,0.3773,-1.8114,0.5545
1287,1.2522,-10.1155,-4.0893,0.2356,-1.9004,0.4381
1295,-2.8491,-9.8114,-1.3479,0.3661,-1.7040,0.5375
1303,-1.6879,-9.0046,-2.0662,0.3858,-1.4138,0.7346
1311,-1.6424,-8.7221,-2.1404,0.2345,-1.4400,0.8892
1318,-1.5131,-9.1243,-0.8092,0.0250,-1.5852,1.0064
1327,-1.4246,-9.6630,-0.1700,-0.0757,-1.6430,1.0778
1335,-0.8068,-9.3661,-0.1556,-0.0610,-1.6252,1.0608
1343,-0.6153,-8.8777,-0.0599,-0.0477,-1.5463,0.9846
1351,-0.5531,-8.7724,0.0168,-0.0322,-1.5199,0.8903
1358,-0.5195,-8.9208,0.0000,-0.0240,-1.5332,0.7767
1367,-0.4549,-9.0812,-0.0479,-0.0211,-1.5740,0.6614
1375,-0.3424,-9.3661,0.0287,0.0107,-1.4938,0.5225
1383,-0.4597,-9.6989,0.2370,0.0829,-1.3206,0.3858
1391,-0.4190,-9.9671,0.1700,0.1737,-1.1018,0.2539
1399,-0.5794,-10.1849,0.1006,0.2276,-0.9478,0.1338
1406,-0.8164,-10.1586,0.1197,0.2558,-0.8609,0.0402
1415,-1.0367,-10.0987,0.2274,0.2910,-0.8426,-0.0176
1423,-1.1133,-10.0509,0.4357,0.3515,-0.8402,-0.0557
1431,-1.1181,-9.9503,0.5459,0.4455,-0.8114,-0.0834
1439,-1.0894,-9.7444,0.4166,0.5420,-0.7293,-0.1122
1446,-1.0750,-9.5816,0.1484,0.6331,-0.6326,-0.1327
1455,-1.1109,-9.5960,0.1508,0.7091,-0.5279,-0.1423
1463,-1.2186,-9.5888,0.1341,0.7698,-0.4117,-0.1460
1471,-1.1301,-9.6582,-0.0766,0.8146,-0.2856,-0.1426
1479,-1.1875,-9.8019,-0.1101,0.8319,-0.1663,-0.1346
1487,-1.1612,-9.9479,-0.3328,0.8116,-0.0586,-0.1372
1495,-1.1540,-10.0413,-0.4573,0.7592,0.0306,-0.1442
1503,-1.0894,-10.1586,-0.4453,0.6928,0.1175,-0.1617
1511,-1.0127,-10.2089,-0.3974,0.6384,0.2217,-0.1982
1519,-0.9577,-10.3430,-0.3041,0.6094,0.3240,-0.2521
1527,-0.8811,-10.3573,-0.1245,0.6054,0.4255,-0.3123
1534,-0.9720,-10.3094,0.0287,0.6254,0.5097,-0.3714
1543,-1.0391,-10.3262,0.2203,0.6702,0.5734,-0.4197
1551,-1.1109,-10.3262,0.3496,0.7408,0.6230,-0.4493
1559,-1.2833,-10.3214,0.4094,0.8260,0.6624,-0.4586
1567,-1.4269,-10.2568,0.4621,0.9102,0.6893,-0.4426
1574,-1.5203,-10.3118,0.3232,0.9872,0.6805,-0.4104
1583,-1.5562,-10.3789,0.3041,1.0483,0.6598,-0.3584
1591,-1.6735,-10.3932,0.2562,1.0938,0.6358,-0.2936
1599,-1.7190,-10.3549,0.2777,1.1282,0.6238,-0.2185
1607,-1.6735,-10.4100,0.1221,1.1564,0.6294,-0.1316
1615,-1.6927,-10.3597,0.0622,1.1671,0.6294,-0.0469
1623,-1.7310,-10.4004,0.2083,1.1703,0.6174,0.0410
1631,-1.6376,-10.3813,0.1317,1.1671,0.5915,0.1218
1639,-1.6424,-10.5201,0.0814,1.1567,0.5553,0.1892
1647,-1.5060,-10.5297,0.0718,1.1455,0.5183,0.2451
1655,-1.4126,-10.6398,0.0766,1.1335,0.4866,0.2766
1662,-1.3503,-10.7835,0.0168,1.1247,0.4572,0.2920
1671,-1.2929,-10.8026,0.1317,1.1258,0.4317,0.2899
1679,-1.2713,-10.8816,0.1867,1.1287,0.4101,0.2817
1687,-1.2378,-10.9846,0.1748,1.1354,0.3786,0.2699
1695,-1.2498,-10.9559,0.2418,1.1525,0.3429,0.2569
1703,-1.2881,-10.9559,0.2131,1.1663,0.2998,0.2441
1711,-1.2354,-10.9678,0.2011,1.1815,0.2486,0.2308
1719,-1.2713,-11.0277,0.2729,1.1969,0.2049,0.2236
1727,-1.2761,-11.0014,0.1987,1.2127,0.1625,0.2121
1735,-1.2785,-10.9678,0.1508,1.2244,0.1255,0.1964
1743,-1.2665,-11.0109,0.2035,1.2289,0.0815,0.1817
1751,-1.2570,-11.0205,0.0790,1.2236,0.0416,0.1652
1759,-1.2689,-10.9223,0.1077,1.2121,0.0056,0.1503
1767,-1.2163,-10.9990,0.0000,1.1980,-0.0360,0.1335
1775,-1.2067,-11.0157,0.0072,1.1706,-0.0685,0.1103
1783,-1.1756,-11.0205,-0.0335,1.1447,-0.1050,0.0869
1792,-1.1827,-11.0038,-0.0359,1.1143,-0.1367,0.0530
1799,-1.1540,-11.0157,-0.0239,1.0858,-0.1724,0.0117
1807,-1.1396,-10.9511,-0.0790,1.0571,-0.2009,-0.0298
1815,-1.0989,-11.0588,-0.0263,1.0363,-0.2308,-0.0797
1823,-1.1684,-11.0157,0.0790,1.0128,-0.2649,-0.1210
1831,-1.1971,-10.9654,0.1484,0.9976,-0.3072,-0.1553
1839,-1.2785,-10.9583,0.1197,0.9902,-0.3491,-0.1847
1847,-1.3288,-10.8697,0.1221,0.9816,-0.3928,-0.1988
1855,-1.3791,-10.8625,0.1125,0.9747,-0.4357,-0.2054
1863,-1.4054,-10.7643,0.0192,0.9646,-0.4807,-0.2017
1871,-1.4533,-10.8338,0.0742,0.9563,-0.5228,-0.1913
1880,-1.4293,-10.7212,0.1030,0.9491,-0.5601,-0.1737
1887,-1.5083,-10.6853,0.0670,0.9342,-0.5974,-0.1487
1895,-1.6017,-10.6853,0.1437,0.9185,-0.6387,-0.1183
1903,-1.5490,-10.5943,0.0790,0.9009,-0.6747,-0.0869
1911,-1.4724,-10.5800,0.0407,0.8841,-0.7091,-0.0578
1920,-1.5036,-10.4794,0.1221,0.8684,-0.7402,-0.0245
1927,-1.5538,-10.4651,0.0838,0.8505,-0.7642,0.0115
1935,-1.4988,-10.4770,0.1053,0.8364,-0.7839,0.0389
1943,-1.4916,-10.4339,0.0192,0.8178,-0.7938,0.0624
1951,-1.3862,-10.4411,0.0192,0.8060,-0.8010,0.0885
1959,-1.4150,-10.4339,0.0096,0.7911,-0.8114,0.0994
1968,-1.3623,-10.3238,-0.0239,0.7767,-0.8146,0.1167
1975,-1.3982,-10.3046,0.0239,0.7682,-0.8082,0.1263
1983,-1.3599,-10.3238,-0.0120,0.7610,-0.8026,0.1348
1991,-1.3216,-10.2975,-0.0239,0.7530,-0.7890,0.1426
1999,-1.2546,-10.2951,-0.0144,0.7461,-0.7735,0.1434
2008,-1.2713,-10.2448,-0.0694,0.7424,-0.7493,0.1455
2015,-1.2258,-10.2544,-0.0311,0.7306,-0.7232,0.1466
2023,-1.2115,-10.1203,-0.0599,0.7186,-0.6931,0.1455
2031,-1.2186,-10.1562,-0.1173,0.7056,-0.6587,0.1428
2039,-1.1923,-10.0413,-0.1317,0.6885,-0.6206,0.1367
2048,-1.1732,-10.0341,-0.1317,0.6680,-0.5820,0.1271
2056,-1.1372,-10.0652,-0.1939,0.6480,-0.5321,0.1199
2063,-1.1181,-9.9838,-0.1604,0.6259,-0.4842,0.1042
2071,-1.1684,-9.9359,-0.0670,0.5987,-0.4362,0.0845
2079,-1.0558,-9.8976,-0.1077,0.5734,-0.3792,0.0653
2087,-1.0463,-9.8928,-0.1915,0.5476,-0.3203,0.0376
2096,-1.0965,-9.7803,-0.1820,0.5268,-0.2707,0.0136
2103,-1.0319,-9.8043,-0.1221,0.4999,-0.2150,-0.0163
2111,-1.0822,-9.7636,-0.2131,0.4732,-0.1636,-0.0357
2119,-1.0271,-9.7659,-0.1987,0.4463,-0.1095,-0.0632
2127,-1.0774,-9.6534,-0.0694,0.4183,-0.0581,-0.0903
2136,-1.0271,-9.6223,-0.1484,0.3909,-0.0067,-0.1090
2144,-1.1037,-9.6223,-0.0575,0.3683,0.0389,-0.1276
2151,-1.1349,-9.5265,-0.1389,0.3411,0.0821,-0.1370
2159,-1.1444,-9.5888,-0.0742,0.3144,0.1196,-0.1404
2167,-1.1492,-9.4930,-0.1293,0.2936,0.1537,-0.1407
2176,-1.1516,-9.5361,-0.1365,0.2641,0.1911,-0.1415
2184,-1.2474,-9.4763,-0.0958,0.2377,0.2166,-0.1364
2191,-1.1803,-9.4403,-0.1341,0.2108,0.2446,-0.1300
2199,-1.2091,-9.3111,-0.1101,0.1820,0.2689,-0.1111
2207,-1.2282,-9.3996,-0.0144,0.1527,0.2872,-0.0999
2215,-1.2402,-9.3829,-0.0335,0.1303,0.3040,-0.0826
2224,-1.2594,-9.3829,-0.0575,0.1031,0.3150,-0.0666
2232,-1.2378,-9.3877,-0.0599,0.0775,0.3264,-0.0482
2239,-1.2977,-9.3733,-0.0455,0.0546,0.3275,-0.0312
2247,-1.3168,-9.3637,0.0431,0.0301,0.3280,-0.0104
2255,-1.2163,-9.3518,0.0024,0.0099,0.3304,0.0101
2264,-1.2713,-9.3565,-0.0215,-0.0123,0.3264,0.0306
2272,-1.2522,-9.3565,0.0359,-0.0362,0.3232,0.0469
2279,-1.2833,-9.3446,0.0670,-0.0610,0.3118,0.0653
2287,-1.2833,-9.3637,0.0790,-0.0818,0.3006,0.0885
2295,-1.2570,-9.3829,0.1341,-0.1021,0.2936,0.1100
2304,-1.2570,-9.4451,0.0359,-0.1260,0.2769,0.1300
